Zeit	Kanal A	Kanal B
(ms)	(V)	(V)

-0.00816000	0.00787402	0.00000000
-0.00408000	0.00787402	0.00000000
0.00000000	0.01577879	0.00000000
0.00408000	0.01577879	0.00000000
0.00816000	0.01577879	0.00000000
0.01224000	0.00787402	-0.15809550
0.01632000	0.01577879	-0.15809550
0.02040000	0.01577879	-0.15809550
0.02448000	0.00787402	0.00000000
0.02856000	0.00787402	0.00000000
0.03264000	0.01577879	-0.15809550
0.03672000	0.01577879	-0.15809550
0.04080000	0.01577879	-0.15809550
0.04488000	0.01577879	0.00000000
0.04896000	0.01577879	0.00000000
0.05304000	0.01577879	-0.15809550
0.05712000	0.00787402	-0.15809550
0.06120000	0.01577879	-0.15809550
0.06528000	0.01577879	-0.15809550
0.06936000	0.01577879	-0.15809550
0.07344000	0.01577879	-0.15809550
0.07752000	0.01577879	-0.15809550
0.08160000	0.01577879	-0.15809550
0.08568000	0.01577879	-0.15809550
0.08976000	0.01577879	-0.15809550
0.09384000	0.01577879	-0.15809550
0.09792000	0.01577879	-0.15809550
0.10200000	0.01577879	-0.15809550
0.10608000	0.01577879	-0.15809550
0.11016000	0.01577879	-0.15809550
0.11424000	0.01577879	-0.15809550
0.11832000	0.01577879	-0.15809550
0.12240000	0.01577879	-0.15809550
0.12648000	0.01577879	-0.15809550
0.13056000	0.01577879	-0.15809550
0.13464000	0.01577879	-0.15809550
0.13872000	0.02368356	-0.15809550
0.14280000	0.01577879	-0.15809550
0.14688000	0.01577879	-0.15809550
0.15096000	0.01577879	-0.15809550
0.15504000	0.01577879	-0.15809550
0.15912000	0.01577879	-0.15809550
0.16320000	0.02368356	-0.15809550
0.16728000	0.01577879	-0.15809550
0.17136000	0.02368356	-0.15809550
0.17544000	0.01577879	-0.15809550
0.17952000	0.01577879	-0.15809550
0.18360000	0.01577879	-0.15809550
0.18768000	0.02368356	-0.15809550
0.19176000	0.02368356	-0.15809550
0.19584000	0.01577879	-0.15809550
0.19992000	0.02368356	-0.15809550
0.20400000	0.01577879	-0.31680610
0.20808000	0.02368356	-0.31680610
0.21216000	0.02368356	-0.31680610
0.21624000	0.02368356	-0.31680610
0.22032000	0.02368356	-0.31680610
0.22440000	0.01577879	-0.31680610
0.22848000	0.02368356	-0.31680610
0.23256000	0.02368356	-0.31680610
0.23664000	0.02368356	-0.31680610
0.24072000	0.02368356	-0.31680610
0.24480000	0.02368356	-0.31680610
0.24888000	0.02368356	-0.31680610
0.25296000	0.02368356	-0.31680610
0.25704000	0.02368356	-0.31680610
0.26112000	0.02368356	-0.31680610
0.26520000	0.02368356	-0.31680610
0.26928000	0.02368356	-0.31680610
0.27336000	0.02368356	-0.31680610
0.27744000	0.02368356	-0.31680610
0.28152000	0.02368356	-0.31680610
0.28560000	0.02368356	-0.31680610
0.28968000	0.02368356	-0.31680610
0.29376000	0.02368356	-0.31680610
0.29784000	0.02368356	-0.31680610
0.30192000	0.02368356	-0.31680610
0.30600000	0.02368356	-0.31680610
0.31008000	0.02368356	-0.31680610
0.31416000	0.02368356	-0.31680610
0.31824000	0.02368356	-0.31680610
0.32232000	0.02368356	-0.31680610
0.32640000	0.02368356	-0.31680610
0.33048000	0.02368356	-0.31680610
0.33456000	0.03158834	-0.31680610
0.33864000	0.03158834	-0.31680610
0.34272000	0.03158834	-0.31680610
0.34680000	0.03158834	-0.31680610
0.35088000	0.02368356	-0.47490160
0.35496000	0.03158834	-0.47490160
0.35904000	0.03158834	-0.47490160
0.36312000	0.03158834	-0.47490160
0.36720000	0.03158834	-0.47490160
0.37128000	0.03158834	-0.47490160
0.37536000	0.02368356	-0.47490160
0.37944000	0.03158834	-0.47490160
0.38352001	0.03158834	-0.47490160
0.38760001	0.03158834	-0.47490160
0.39168001	0.03158834	-0.47490160
0.39576001	0.03158834	-0.47490160
0.39984001	0.03158834	-0.47490160
0.40392001	0.03158834	-0.47490160
0.40800001	0.03158834	-0.47490160
0.41208001	0.03158834	-0.47490160
0.41616001	0.03158834	-0.47490160
0.42024001	0.03158834	-0.47490160
0.42432001	0.03158834	-0.47490160
0.42840001	0.03158834	-0.47490160
0.43248001	0.03158834	-0.47490160
0.43656001	0.03158834	-0.47490160
0.44064001	0.03158834	-0.47490160
0.44472001	0.03158834	-0.47490160
0.44880001	0.03158834	-0.47490160
0.45288001	0.03158834	-0.47490160
0.45696001	0.03158834	-0.47490160
0.46104001	0.03158834	-0.47490160
0.46512001	0.03158834	-0.47490160
0.46920001	0.03158834	-0.47490160
0.47328001	0.03946235	-0.47490160
0.47736001	0.03946235	-0.47490160
