Zeit	Kanal A	Kanal B
(ms)	(V)	(V)

-98.89920056	-0.39486960	0.01577879
-98.89104056	-0.39486960	0.01577879
-98.88288056	-0.40277440	0.01577879
-98.87472056	-0.40277440	0.01577879
-98.86656056	-0.39486960	0.01577879
-98.85840056	-0.39486960	0.01577879
-98.85024056	-0.40277440	0.01577879
-98.84208056	-0.40277440	0.01577879
-98.83392056	-0.40277440	0.01577879
-98.82576056	-0.40277440	0.01577879
-98.81760056	-0.40277440	0.01577879
-98.80944056	-0.40277440	0.01577879
-98.80128056	-0.40277440	0.01577879
-98.79312056	-0.40277440	0.01577879
-98.78496056	-0.40277440	0.01577879
-98.77680056	-0.40277440	0.01577879
-98.76864056	-0.40277440	0.01577879
-98.76048056	-0.40277440	0.01577879
-98.75232056	-0.40277440	0.01577879
-98.74416056	-0.41067910	0.01577879
-98.73600056	-0.40277440	0.01577879
-98.72784056	-0.40277440	0.01577879
-98.71968056	-0.41067910	0.01577879
-98.71152056	-0.40277440	0.01577879
-98.70336056	-0.41067910	0.01577879
-98.69520056	-0.41067910	0.01577879
-98.68704056	-0.41067910	0.01577879
-98.67888056	-0.40277440	0.01577879
-98.67072056	-0.41067910	0.01577879
-98.66256056	-0.41067910	0.01577879
-98.65440056	-0.41067910	0.01577879
-98.64624056	-0.40277440	0.01577879
-98.63808056	-0.41067910	0.01577879
-98.62992056	-0.41067910	0.01577879
-98.62176056	-0.41067910	0.01577879
-98.61360055	-0.41067910	0.01577879
-98.60544055	-0.41067910	0.01577879
-98.59728055	-0.41067910	0.01577879
-98.58912055	-0.41067910	0.01577879
-98.58096055	-0.41067910	0.01577879
-98.57280055	-0.41067910	0.01577879
-98.56464055	-0.41855310	0.01577879
-98.55648055	-0.41067910	0.01577879
-98.54832055	-0.41067910	0.01577879
-98.54016055	-0.41855310	0.01577879
-98.53200055	-0.41067910	0.01577879
-98.52384055	-0.41855310	0.01577879
-98.51568055	-0.41855310	0.01577879
-98.50752055	-0.41855310	0.01577879
-98.49936055	-0.41855310	0.01577879
-98.49120055	-0.41855310	0.01577879
-98.48304055	-0.41855310	0.01577879
-98.47488055	-0.41855310	0.01577879
-98.46672055	-0.41855310	0.01577879
-98.45856055	-0.41855310	0.01577879
-98.45040055	-0.41855310	0.01577879
-98.44224055	-0.41855310	0.01577879
-98.43408055	-0.41855310	0.01577879
-98.42592055	-0.41855310	0.01577879
-98.41776055	-0.41855310	0.01577879
-98.40960055	-0.41855310	0.01577879
-98.40144055	-0.41855310	0.01577879
-98.39328055	-0.41855310	0.01577879
-98.38512055	-0.42645790	0.01577879
-98.37696055	-0.41855310	0.01577879
-98.36880055	-0.41855310	0.01577879
-98.36064055	-0.41855310	0.01577879
-98.35248055	-0.41855310	0.01577879
-98.34432055	-0.42645790	0.01577879
-98.33616055	-0.42645790	0.01577879
-98.32800055	-0.42645790	0.01577879
-98.31984055	-0.42645790	0.01577879
-98.31168055	-0.42645790	0.01577879
-98.30352055	-0.42645790	0.01577879
-98.29536055	-0.42645790	0.01577879
-98.28720055	-0.42645790	0.01577879
-98.27904055	-0.42645790	0.01577879
-98.27088055	-0.42645790	0.01577879
-98.26272055	-0.42645790	0.01577879
-98.25456055	-0.42645790	0.01577879
-98.24640055	-0.42645790	0.01577879
-98.23824055	-0.43436270	0.01577879
-98.23008055	-0.42645790	0.01577879
-98.22192055	-0.42645790	0.01577879
-98.21376055	-0.42645790	0.01577879
-98.20560055	-0.43436270	0.01577879
-98.19744055	-0.43436270	0.01577879
-98.18928055	-0.43436270	0.01577879
-98.18112055	-0.43436270	0.01577879
-98.17296055	-0.43436270	0.01577879
-98.16480055	-0.43436270	0.01577879
-98.15664055	-0.43436270	0.01577879
-98.14848055	-0.43436270	0.01577879
-98.14032055	-0.43436270	0.01577879
-98.13216055	-0.43436270	0.01577879
-98.12400055	-0.43436270	0.01577879
-98.11584055	-0.43436270	0.01577879
-98.10768055	-0.43436270	0.01577879
-98.09952055	-0.43436270	0.01577879
-98.09136055	-0.43436270	0.01577879
-98.08320055	-0.43436270	0.01577879
-98.07504055	-0.43436270	0.01577879
-98.06688055	-0.43436270	0.01577879
-98.05872055	-0.43436270	0.01577879
-98.05056055	-0.43436270	0.01577879
-98.04240055	-0.44226750	0.01577879
-98.03424055	-0.43436270	0.01577879
-98.02608055	-0.44226750	0.01577879
-98.01792055	-0.43436270	0.01577879
-98.00976055	-0.43436270	0.01577879
-98.00160055	-0.44226750	0.01577879
-97.99344055	-0.44226750	0.01577879
-97.98528055	-0.43436270	0.01577879
