Zeit	Kanal A	Kanal B
(ms)	(V)	(V)

-22.45222405	0.06317668	-5.54503000
-22.45017605	0.06317668	-5.54503000
-22.44812805	0.06317668	-5.54503000
-22.44608005	0.06317668	-5.54503000
-22.44403205	0.06317668	-5.54503000
-22.44198405	0.06317668	-5.54503000
-22.43993605	0.05527190	-5.54503000
-22.43788805	0.06317668	-5.54503000
-22.43584005	0.05527190	-5.54503000
-22.43379205	0.06317668	-5.54503000
-22.43174405	0.05527190	-5.54503000
-22.42969605	0.06317668	-5.54503000
-22.42764805	0.05527190	-5.54503000
-22.42560005	0.06317668	-5.54503000
-22.42355205	0.05527190	-5.54503000
-22.42150405	0.05527190	-5.54503000
-22.41945605	0.05527190	-5.54503000
-22.41740805	0.05527190	-5.54503000
-22.41536005	0.06317668	-5.54503000
-22.41331205	0.06317668	-5.54503000
-22.41126405	0.05527190	-5.54503000
-22.40921605	0.05527190	-5.54503000
-22.40716805	0.05527190	-5.54503000
-22.40512005	0.05527190	-5.54503000
-22.40307205	0.05527190	-5.54503000
-22.40102405	0.05527190	-5.54503000
-22.39897605	0.05527190	-5.54503000
-22.39692805	0.06317668	-5.54503000
-22.39488005	0.05527190	-5.54503000
-22.39283205	0.05527190	-5.54503000
-22.39078405	0.06317668	-5.54503000
-22.38873605	0.06317668	-5.54503000
-22.38668805	0.05527190	-5.54503000
-22.38464005	0.05527190	-5.54503000
-22.38259205	0.06317668	-5.54503000
-22.38054405	0.05527190	-5.54503000
-22.37849605	0.04736713	-5.54503000
-22.37644805	0.05527190	-5.54503000
-22.37440005	0.05527190	-5.54503000
-22.37235205	0.05527190	-5.54503000
-22.37030405	0.05527190	-5.54503000
-22.36825605	0.05527190	-5.54503000
-22.36620805	0.05527190	-5.54503000
-22.36416005	0.05527190	-5.54503000
-22.36211205	0.05527190	-5.54503000
-22.36006405	0.05527190	-5.54503000
-22.35801605	0.05527190	-5.54503000
-22.35596805	0.05527190	-5.54503000
-22.35392005	0.05527190	-5.54503000
-22.35187205	0.05527190	-5.54503000
-22.34982405	0.05527190	-5.54503000
-22.34777605	0.05527190	-5.54503000
-22.34572805	0.05527190	-5.54503000
-22.34368005	0.06317668	-5.54503000
-22.34163205	0.05527190	-5.54503000
-22.33958405	0.05527190	-5.54503000
-22.33753605	0.05527190	-5.54503000
-22.33548805	0.05527190	-5.54503000
-22.33344005	0.05527190	-5.54503000
-22.33139205	0.05527190	-5.54503000
-22.32934405	0.05527190	-5.54503000
-22.32729605	0.05527190	-5.54503000
-22.32524805	0.05527190	-5.54503000
-22.32320005	0.05527190	-5.54503000
-22.32115205	0.05527190	-5.54503000
-22.31910405	0.05527190	-5.54503000
-22.31705605	0.05527190	-5.54503000
-22.31500805	0.05527190	-5.54503000
-22.31296005	0.05527190	-5.54503000
-22.31091205	0.05527190	-5.54503000
-22.30886405	0.05527190	-5.54503000
-22.30681605	0.05527190	-5.54503000
-22.30476805	0.05527190	-5.54503000
-22.30272005	0.05527190	-5.54503000
-22.30067205	0.05527190	-5.54503000
-22.29862405	0.05527190	-5.54503000
-22.29657605	0.05527190	-5.54503000
-22.29452805	0.04736713	-5.54503000
-22.29248005	0.05527190	-5.54503000
-22.29043205	0.05527190	-5.54503000
-22.28838405	0.04736713	-5.54503000
-22.28633605	0.05527190	-5.54503000
-22.28428805	0.05527190	-5.54503000
-22.28224005	0.04736713	-5.54503000
-22.28019205	0.04736713	-5.54503000
-22.27814405	0.05527190	-5.54503000
-22.27609605	0.05527190	-5.54503000
-22.27404805	0.05527190	-5.54503000
-22.27200005	0.05527190	-5.54503000
-22.26995205	0.05527190	-5.54503000
-22.26790405	0.05527190	-5.54503000
-22.26585605	0.05527190	-5.54503000
-22.26380805	0.05527190	-5.54503000
-22.26176005	0.05527190	-5.54503000
-22.25971205	0.04736713	-5.54503000
-22.25766405	0.04736713	-5.54503000
-22.25561605	0.04736713	-5.54503000
-22.25356805	0.05527190	-5.54503000
-22.25152005	0.04736713	-5.54503000
-22.24947205	0.05527190	-5.54503000
-22.24742405	0.05527190	-5.54503000
-22.24537605	0.05527190	-5.54503000
-22.24332805	0.05527190	-5.54503000
-22.24128005	0.05527190	-5.54503000
-22.23923205	0.04736713	-5.54503000
-22.23718405	0.04736713	-5.54503000
-22.23513605	0.04736713	-5.54503000
-22.23308805	0.04736713	-5.54503000
-22.23104005	0.05527190	-5.54503000
-22.22899205	0.04736713	-5.54503000
-22.22694405	0.04736713	-5.54503000
-22.22489605	0.04736713	-5.54503000
-22.22284805	0.04736713	-5.54503000
