Frequenz	Kanal A	Kanal B
(MHz)	(dBV)	(dBV)

0.00000000	-43.10634000	3.00246600
0.00381470	-45.83316000	0.01844212
0.00762939	-53.23559000	-8.07018600
0.01144409	-67.18014000	-24.81816000
0.01525879	-66.08527000	-67.91711000
0.01907349	-69.73218000	-57.93443000
0.02288818	-79.59559000	-56.98716000
0.02670288	-77.36286000	-63.12473000
0.03051758	-76.43905000	-72.31396000
0.03433228	-81.90752000	-68.67078000
0.03814697	-88.84451000	-67.13516000
0.04196167	-82.53669000	-71.45112000
0.04577637	-83.56200000	-74.36968000
0.04959106	-91.42636000	-73.43222000
0.05340576	-90.42858000	-73.68725000
0.05722046	-86.48262000	-74.84460000
0.06103516	-89.65147000	-75.94666000
0.06484985	-95.14742000	-76.12135000
0.06866455	-91.41178000	-75.67693000
0.07247925	-90.25809000	-76.03280000
0.07629395	-95.65313000	-76.16772000
0.08010864	-97.07610000	-77.13495000
0.08392334	-92.89912000	-76.93643000
0.08773804	-93.97283000	-76.28886000
0.09155273	-99.73286000	-76.65620000
0.09536743	-97.75488000	-78.30774000
0.09918213	-94.83427000	-77.53053000
0.10299683	-97.93842000	-76.88115000
0.10681152	-101.78020000	-77.74500000
0.11062622	-98.14433000	-78.75563000
0.11444092	-97.28412000	-77.52006000
0.11825562	-101.84550000	-77.18619000
0.12207031	-102.50480000	-78.58530000
0.12588501	-98.88104000	-78.38503000
0.12969971	-99.90079000	-77.50906000
0.13351440	-104.06720000	-77.61196000
0.13732910	-102.60620000	-79.07532000
0.14114380	-100.29540000	-78.42728000
0.14495850	-103.41680000	-77.51488000
0.14877319	-105.78180000	-78.50983000
0.15258789	-102.75870000	-79.14228000
0.15640259	-102.20370000	-78.54725000
0.16021729	-106.03760000	-77.60616000
0.16403198	-106.24680000	-78.85416000
0.16784668	-103.03180000	-78.95945000
0.17166138	-104.12790000	-78.21815000
0.17547607	-107.21090000	-78.32071000
0.17929077	-106.06190000	-79.27246000
0.18310547	-104.16450000	-78.69392000
0.18692017	-106.00290000	-77.75384000
0.19073486	-107.18120000	-78.51538000
0.19454956	-105.47850000	-79.10130000
0.19836426	-104.66940000	-78.68717000
0.20217896	-106.87330000	-78.03749000
0.20599365	-107.51420000	-79.42750000
0.20980835	-105.93460000	-79.59325000
0.21362305	-106.97650000	-78.48178000
0.21743774	-110.02610000	-78.66354000
0.22125244	-108.76440000	-79.60227000
0.22506714	-106.92170000	-79.19155000
0.22888184	-108.79370000	-78.49501000
0.23269653	-109.92500000	-79.34388000
0.23651123	-108.09020000	-79.04474000
0.24032593	-107.19080000	-78.72272000
0.24414063	-109.32730000	-78.74877000
0.24795532	-109.71360000	-79.75877000
0.25177002	-108.00180000	-79.95799000
0.25558472	-108.43660000	-79.07887000
0.25939941	-109.47580000	-79.11135000
0.26321411	-108.84970000	-79.51105000
0.26702881	-107.81460000	-79.62787000
0.27084351	-108.18990000	-79.03287000
0.27465820	-109.00530000	-79.53526000
0.27847290	-108.57600000	-79.96390000
0.28228760	-109.10170000	-79.32580000
0.28610229	-111.35670000	-79.19576000
0.28991699	-111.10950000	-79.71247000
0.29373169	-108.92080000	-79.59126000
0.29754639	-108.70810000	-78.71856000
0.30136108	-109.92670000	-78.93763000
0.30517578	-110.00690000	-79.26704000
0.30899048	-108.74310000	-78.94569000
0.31280518	-108.54200000	-78.57148000
0.31661987	-109.15560000	-79.05159000
0.32043457	-109.12330000	-79.44272000
0.32424927	-109.01320000	-79.15746000
0.32806396	-109.12250000	-79.09642000
0.33187866	-109.45320000	-80.02293000
0.33569336	-108.39480000	-80.29498000
0.33950806	-108.47190000	-79.81142000
0.34332275	-109.19740000	-80.16937000
0.34713745	-109.34700000	-80.33216000
0.35095215	-108.77490000	-79.50751000
0.35476685	-109.61050000	-79.08994000
0.35858154	-110.47720000	-79.57182000
0.36239624	-110.01680000	-80.25169000
0.36621094	-109.50310000	-79.57641000
0.37002563	-109.38090000	-79.48380000
0.37384033	-109.93440000	-80.03875000
0.37765503	-109.50880000	-80.14199000
0.38146973	-109.99550000	-80.12618000
0.38528442	-110.62190000	-79.97662000
0.38909912	-110.55790000	-80.30117000
0.39291382	-109.89590000	-80.15434000
0.39672852	-110.54740000	-79.92256000
0.40054321	-110.91790000	-80.00769000
0.40435791	-109.79460000	-80.39220000
0.40817261	-109.04210000	-80.32284000
0.41198730	-108.88890000	-79.91775000
0.41580200	-109.58950000	-80.14851000
0.41961670	-110.05580000	-80.13377000
0.42343140	-110.56280000	-80.03383000
0.42724609	-111.22100000	-80.25534000
0.43106079	-111.13820000	-80.70446000
0.43487549	-110.32530000	-80.61365000
0.43869019	-110.29670000	-80.28485000
0.44250488	-110.93420000	-80.79872000
0.44631958	-110.60830000	-81.03013000
0.45013428	-110.78930000	-80.88198000
0.45394897	-111.13020000	-80.85274000
0.45776367	-110.71370000	-81.20766000
0.46157837	-110.28800000	-81.21011000
0.46539307	-109.47960000	-81.73302000
0.46920776	-109.50770000	-81.68617000
0.47302246	-109.20700000	-81.85394000
0.47683716	-108.31560000	-81.31617000
0.48065186	-108.73700000	-81.08994000
0.48446655	-109.14850000	-81.55026000
0.48828125	-109.51720000	-81.40596000
0.49209595	-110.28610000	-81.22181000
0.49591064	-110.80010000	-81.01937000
0.49972534	-110.57520000	-81.43713000
0.50354004	-110.16910000	-81.87646000
0.50735474	-109.84890000	-82.03262000
0.51116943	-109.79440000	-81.89667000
0.51498413	-109.55270000	-82.49405000
0.51879883	-109.36070000	-82.24792000
0.52261353	-109.81850000	-82.16994000
0.52642822	-109.66420000	-82.21005000
0.53024292	-109.72760000	-82.33607000
0.53405762	-109.49600000	-82.20257000
0.53787231	-109.44510000	-82.12016000
0.54168701	-109.14930000	-82.49149000
0.54550171	-108.85830000	-82.72454000
0.54931641	-108.89620000	-82.42733000
0.55313110	-108.94970000	-82.33495000
0.55694580	-108.84450000	-82.43822000
0.56076050	-108.63160000	-82.65262000
0.56457520	-108.36850000	-82.79290000
0.56838989	-107.92640000	-83.00116000
0.57220459	-107.72230000	-83.23010000
0.57601929	-108.22640000	-83.35983000
0.57983398	-107.97830000	-83.05416000
0.58364868	-107.82390000	-83.25323000
0.58746338	-107.50030000	-83.69267000
0.59127808	-107.70460000	-83.80836000
0.59509277	-108.01890000	-83.41384000
0.59890747	-107.80790000	-83.69416000
0.60272217	-107.81770000	-83.57967000
0.60653687	-108.66250000	-83.66733000
0.61035156	-109.31600000	-83.78047000
0.61416626	-108.77420000	-83.71320000
0.61798096	-108.42550000	-83.47804000
0.62179565	-109.57510000	-83.34730000
0.62561035	-110.30520000	-83.83781000
0.62942505	-111.34650000	-84.03727000
0.63323975	-112.08910000	-84.17165000
0.63705444	-112.85270000	-83.74375000
0.64086914	-112.73170000	-83.99228000
0.64468384	-112.68920000	-84.26627000
0.64849854	-112.56440000	-84.06549000
0.65231323	-112.91920000	-84.17922000
0.65612793	-112.62860000	-84.54658000
0.65994263	-112.42490000	-84.66299000
0.66375732	-112.61930000	-84.67786000
0.66757202	-112.17860000	-84.84966000
0.67138672	-111.86300000	-84.71463000
0.67520142	-111.71510000	-84.45584000
0.67901611	-111.89310000	-84.37649000
0.68283081	-111.33080000	-84.98794000
0.68664551	-111.50560000	-85.38249000
0.69046021	-111.28990000	-85.06926000
0.69427490	-111.47810000	-85.05205000
0.69808960	-111.60120000	-85.41516000
0.70190430	-111.74040000	-85.53496000
0.70571899	-111.55360000	-85.39747000
0.70953369	-111.21920000	-85.70113000
0.71334839	-111.01750000	-85.67789000
0.71716309	-110.64580000	-85.59509000
0.72097778	-110.68510000	-85.19619000
0.72479248	-110.25300000	-85.27996000
0.72860718	-110.38910000	-85.79834000
0.73242188	-110.23940000	-86.30531000
0.73623657	-109.80290000	-85.88093000
0.74005127	-109.85720000	-86.36527000
0.74386597	-109.55010000	-86.25777000
0.74768066	-109.66890000	-85.36292000
0.75149536	-109.57110000	-85.97260000
0.75531006	-109.64200000	-86.05181000
0.75912476	-108.85540000	-86.20939000
0.76293945	-108.26510000	-86.43008000
0.76675415	-108.22320000	-86.40600000
0.77056885	-107.76560000	-85.98204000
0.77438354	-107.33080000	-85.72905000
0.77819824	-107.42570000	-85.55910000
0.78201294	-107.10230000	-85.77064000
0.78582764	-106.78880000	-85.91798000
0.78964233	-106.66000000	-85.88336000
0.79345703	-106.56760000	-86.26189000
0.79727173	-106.27030000	-86.23526000
0.80108643	-105.74200000	-86.67372000
0.80490112	-105.47410000	-86.66443000
0.80871582	-105.00080000	-86.23231000
0.81253052	-104.83460000	-85.88647000
0.81634521	-104.39080000	-86.44334000
0.82015991	-104.31070000	-86.64017000
0.82397461	-104.23880000	-86.51579000
0.82778931	-104.08450000	-86.61643000
0.83160400	-103.60230000	-86.40376000
0.83541870	-103.49310000	-86.68197000
0.83923340	-103.70280000	-86.98427000
0.84304810	-103.40200000	-87.03133000
0.84686279	-103.19180000	-86.89614000
0.85067749	-103.62420000	-87.27596000
0.85449219	-103.72360000	-86.93260000
0.85830688	-103.30160000	-86.68918000
0.86212158	-103.37450000	-86.68062000
0.86593628	-103.48480000	-86.69302000
0.86975098	-103.42840000	-86.96764000
0.87356567	-102.98410000	-87.19249000
0.87738037	-102.94260000	-87.10596000
0.88119507	-103.42420000	-86.75848000
0.88500977	-103.97500000	-87.04983000
0.88882446	-104.23280000	-86.85622000
0.89263916	-104.56700000	-86.73290000
0.89645386	-104.73500000	-86.96696000
0.90026855	-104.34350000	-86.97180000
0.90408325	-104.99850000	-87.27175000
0.90789795	-105.09630000	-87.20012000
0.91171265	-104.91440000	-87.34095000
0.91552734	-104.69100000	-87.36389000
0.91934204	-104.96180000	-87.42466000
0.92315674	-105.44060000	-87.31091000
0.92697144	-105.62920000	-87.47137000
0.93078613	-105.41160000	-87.49717000
0.93460083	-105.10000000	-87.36107000
0.93841553	-105.63180000	-87.53374000
0.94223022	-106.16890000	-87.91055000
0.94604492	-105.97340000	-87.62792000
0.94985962	-106.01850000	-88.07297000
0.95367432	-106.07770000	-87.82350000
