Frequenz	Kanal A	Kanal B
(MHz)	(dBV)	(dBV)

0.00000000	-62.72469000	-81.32246000
0.00027248	-65.70688000	-82.76469000
0.00054496	-73.78599000	-87.21325000
0.00081744	-90.43404000	-88.92467000
0.00108991	-106.12130000	-89.33881000
0.00136239	-106.85400000	-89.38621000
0.00163487	-107.34280000	-89.92254000
0.00190735	-107.70340000	-89.63231000
0.00217983	-107.50290000	-89.34145000
0.00245231	-107.73010000	-89.09642000
0.00272478	-108.33080000	-89.09471000
0.00299726	-107.89790000	-89.05429000
0.00326974	-107.90830000	-89.49512000
0.00354222	-108.14640000	-89.86656000
0.00381470	-108.33850000	-90.47375000
0.00408718	-108.31700000	-90.35670000
0.00435965	-108.16570000	-90.69579000
0.00463213	-108.42170000	-90.89480000
0.00490461	-108.51490000	-90.15968000
0.00517709	-108.40340000	-89.60809000
0.00544957	-108.59760000	-89.73472000
0.00572205	-108.75820000	-89.68310000
0.00599452	-108.84390000	-89.60995000
0.00626700	-108.63040000	-90.54247000
0.00653948	-109.18890000	-90.06304000
0.00681196	-109.22210000	-90.01565000
0.00708444	-109.11130000	-90.63088000
0.00735692	-109.67330000	-90.38446000
0.00762940	-109.42660000	-90.62200000
0.00790187	-108.80900000	-90.42386000
0.00817435	-108.54170000	-90.15947000
0.00844683	-108.78970000	-89.67133000
0.00871931	-108.67710000	-89.57958000
0.00899179	-108.80900000	-90.39161000
0.00926427	-108.77710000	-90.25407000
0.00953674	-108.75810000	-89.97912000
0.00980922	-109.25410000	-90.07520000
0.01008170	-109.46010000	-89.77350000
0.01035418	-109.08330000	-89.87714000
0.01062666	-109.23820000	-90.34609000
0.01089914	-109.02980000	-90.70349000
0.01117161	-109.18600000	-90.60551000
0.01144409	-109.56960000	-89.87251000
0.01171657	-109.57760000	-89.79212000
0.01198905	-109.40840000	-89.58324000
0.01226153	-109.54770000	-89.84949000
0.01253401	-109.33320000	-90.12125000
0.01280648	-109.14850000	-89.95631000
0.01307896	-109.72020000	-89.88618000
0.01335144	-109.64790000	-89.51334000
0.01362392	-109.52760000	-90.03297000
0.01389640	-109.06800000	-90.13044000
0.01416888	-109.19130000	-90.49141000
0.01444135	-109.08210000	-90.51837000
0.01471383	-108.68030000	-90.59822000
0.01498631	-109.06770000	-90.35165000
0.01525879	-108.86610000	-89.80366000
0.01553127	-109.32400000	-89.58234000
0.01580375	-109.06940000	-89.69385000
0.01607623	-108.73750000	-89.91455000
0.01634870	-109.50600000	-89.49316000
0.01662118	-109.11930000	-89.78964000
0.01689366	-109.09960000	-90.28551000
0.01716614	-108.97510000	-89.98765000
0.01743862	-108.77690000	-90.07616000
0.01771110	-109.23690000	-89.59612000
0.01798357	-109.41330000	-89.87856000
0.01825605	-109.51990000	-89.39761000
0.01852853	-109.27380000	-89.76984000
0.01880101	-108.77100000	-89.82373000
0.01907349	-108.84110000	-89.96239000
0.01934597	-108.88250000	-89.94066000
0.01961844	-109.39600000	-89.59274000
0.01989092	-108.75460000	-89.37206000
0.02016340	-108.15760000	-89.97021000
0.02043588	-108.54640000	-90.68528000
0.02070836	-109.44130000	-90.53649000
0.02098084	-109.72390000	-90.32484000
0.02125331	-109.52200000	-89.77030000
0.02152579	-109.14550000	-90.32654000
0.02179827	-108.98550000	-90.43871000
0.02207075	-109.08510000	-90.85648000
0.02234323	-108.77240000	-90.51807000
0.02261571	-108.60730000	-90.31178000
0.02288819	-109.04670000	-90.16328000
0.02316066	-109.06420000	-90.53992000
0.02343314	-109.22830000	-89.94795000
0.02370562	-108.99070000	-89.60118000
0.02397810	-109.08680000	-89.76491000
0.02425058	-108.87740000	-90.58092000
0.02452306	-108.63780000	-90.37792000
0.02479553	-108.58350000	-90.15311000
0.02506801	-108.14590000	-90.33469000
0.02534049	-107.72130000	-90.01662000
0.02561297	-107.97350000	-90.26790000
0.02588545	-107.76080000	-90.31078000
0.02615793	-107.36170000	-89.76936000
0.02643040	-104.84830000	-89.93506000
0.02670288	-101.01010000	-90.21510000
0.02697536	-99.75387000	-89.67284000
0.02724784	-100.90040000	-89.78873000
0.02752032	-104.06290000	-90.12305000
0.02779280	-107.41110000	-90.06969000
0.02806527	-107.86410000	-89.76360000
0.02833775	-108.39030000	-89.59922000
0.02861023	-108.52110000	-89.54398000
0.02888271	-108.51460000	-90.40636000
0.02915519	-108.94730000	-90.03681000
0.02942767	-109.32060000	-89.73689000
0.02970014	-109.20820000	-89.63425000
0.02997262	-109.35350000	-90.16495000
0.03024510	-109.16490000	-90.26035000
0.03051758	-108.82840000	-90.26383000
0.03079006	-109.10290000	-89.75385000
0.03106254	-109.38670000	-89.92606000
0.03133502	-109.34300000	-90.35778000
0.03160749	-109.18710000	-90.15172000
0.03187997	-109.36910000	-90.51418000
0.03215245	-108.57850000	-90.64324000
0.03242493	-108.76970000	-90.40993000
0.03269741	-109.16230000	-91.11413000
0.03296989	-109.71960000	-90.82758000
0.03324236	-108.98790000	-90.58851000
0.03351484	-109.30550000	-90.69627000
0.03378732	-109.40560000	-90.77375000
0.03405980	-109.11200000	-89.97273000
0.03433228	-109.11840000	-89.45040000
0.03460476	-109.44540000	-89.92584000
0.03487723	-109.25630000	-89.99700000
0.03514971	-109.30200000	-89.83308000
0.03542219	-108.97130000	-90.42713000
0.03569467	-109.70230000	-90.39606000
0.03596715	-109.53550000	-91.11531000
0.03623963	-109.38060000	-90.49684000
0.03651210	-109.18310000	-89.64740000
0.03678458	-109.12680000	-89.61255000
0.03705706	-108.96190000	-90.04906000
0.03732954	-108.87900000	-90.07668000
0.03760202	-108.76670000	-89.98335000
0.03787450	-108.93690000	-90.63061000
0.03814698	-109.30110000	-90.26661000
0.03841945	-109.52120000	-90.27496000
0.03869193	-109.57250000	-90.38972000
0.03896441	-109.63060000	-90.22430000
0.03923689	-109.80840000	-90.21075000
0.03950937	-109.86390000	-90.27325000
0.03978185	-109.64990000	-90.67105000
0.04005432	-109.13320000	-90.70306000
0.04032680	-109.46830000	-90.52159000
0.04059928	-109.43110000	-90.25967000
0.04087176	-109.54200000	-90.38904000
0.04114424	-109.52400000	-90.65313000
0.04141672	-109.28290000	-90.76631000
0.04168919	-109.44350000	-89.89651000
0.04196167	-109.73300000	-89.76226000
0.04223415	-109.72730000	-90.23285000
0.04250663	-109.16740000	-90.71643000
0.04277911	-109.11440000	-90.30470000
0.04305159	-109.39400000	-90.57522000
0.04332406	-109.43560000	-90.52150000
0.04359654	-109.22320000	-90.29736000
0.04386902	-108.81130000	-90.43216000
0.04414150	-108.98900000	-90.62344000
0.04441398	-108.89590000	-90.89089000
0.04468646	-107.42360000	-90.28014000
0.04495893	-106.24010000	-89.99332000
0.04523141	-107.25010000	-90.29072000
0.04550389	-108.19170000	-90.25240000
0.04577637	-109.00720000	-90.22649000
0.04604885	-109.05120000	-90.24812000
0.04632133	-109.30460000	-90.92673000
0.04659381	-108.88340000	-91.02417000
0.04686628	-109.12500000	-90.64731000
0.04713876	-109.21480000	-89.93291000
0.04741124	-109.66680000	-89.89326000
0.04768372	-109.46410000	-90.11964000
0.04795620	-108.93740000	-90.71748000
0.04822868	-108.58230000	-90.80129000
0.04850115	-109.20120000	-90.75383000
0.04877363	-109.44550000	-90.27415000
0.04904611	-109.05330000	-90.06375000
0.04931859	-109.14500000	-89.87211000
0.04959107	-108.96810000	-90.03429000
0.04986355	-109.48860000	-90.17995000
0.05013602	-109.73290000	-90.67315000
0.05040850	-110.07490000	-90.34293000
0.05068098	-109.73510000	-89.85637000
0.05095346	-110.05180000	-89.96932000
0.05122594	-109.83890000	-90.86383000
0.05149842	-109.51820000	-91.12069000
0.05177089	-109.60560000	-90.75130000
0.05204337	-109.82230000	-90.77532000
0.05231585	-109.61770000	-90.68049000
0.05258833	-109.19610000	-90.07780000
0.05286081	-109.76330000	-90.49866000
0.05313329	-109.98070000	-91.18304000
0.05340577	-109.72560000	-90.65592000
0.05367824	-109.20790000	-90.52710000
0.05395072	-109.37250000	-89.98385000
0.05422320	-109.52590000	-89.98080000
0.05449568	-109.75280000	-90.26089000
0.05476816	-109.98880000	-90.88011000
0.05504064	-109.37630000	-90.11983000
0.05531311	-109.64500000	-89.37738000
0.05558559	-109.65600000	-89.90477000
0.05585807	-108.99290000	-90.48273000
0.05613055	-109.25260000	-90.37267000
0.05640303	-109.13060000	-90.08567000
0.05667551	-109.79510000	-90.15114000
0.05694798	-109.76850000	-90.03803000
0.05722046	-109.65790000	-90.70097000
0.05749294	-109.24520000	-90.66332000
0.05776542	-109.03170000	-91.00903000
0.05803790	-109.58290000	-91.01062000
0.05831038	-109.86840000	-90.24707000
0.05858285	-109.93530000	-90.21345000
0.05885533	-109.82530000	-90.64439000
0.05912781	-109.45940000	-90.41468000
0.05940029	-109.34430000	-90.32178000
0.05967277	-108.92480000	-90.26619000
0.05994525	-109.98900000	-90.21289000
0.06021772	-110.25640000	-90.31326000
0.06049020	-109.96540000	-90.49171000
0.06076268	-109.80930000	-90.95071000
0.06103516	-109.27230000	-90.49538000
0.06130764	-109.26570000	-90.68325000
0.06158012	-108.95460000	-90.88037000
0.06185260	-109.41790000	-90.10315000
0.06212507	-109.58000000	-90.26353000
0.06239755	-109.25420000	-89.93349000
0.06267003	-107.16110000	-89.77054000
0.06294251	-105.19480000	-90.37407000
0.06321499	-105.69530000	-90.48061000
0.06348747	-107.69380000	-90.31799000
0.06375994	-108.75790000	-90.26971000
0.06403242	-109.73230000	-90.87102000
0.06430490	-109.96970000	-90.54450000
0.06457738	-110.10690000	-90.38067000
0.06484986	-109.36210000	-89.86948000
0.06512234	-109.36310000	-89.88377000
0.06539481	-109.75360000	-90.19041000
0.06566729	-109.94440000	-90.75163000
0.06593977	-109.17510000	-90.52630000
0.06621225	-108.97250000	-90.49345000
0.06648473	-109.83410000	-90.60151000
0.06675721	-109.66450000	-90.47388000
0.06702968	-109.42710000	-90.59459000
0.06730216	-109.08160000	-91.60133000
0.06757464	-109.35350000	-91.02361000
0.06784712	-109.16920000	-91.20920000
0.06811960	-109.13540000	-90.54139000
