Frequenz	Kanal A	Kanal B
(MHz)	(dBV)	(dBV)

0.00000000	-38.37462000	17.43640000
0.00047684	-36.61935000	14.45418000
0.00095367	-40.07460000	6.37231100
0.00143051	-51.36725000	-10.36432000
0.00190735	-78.71197000	-45.48847000
0.00238419	-79.89996000	-43.40378000
0.00286102	-83.68758000	-43.01767000
0.00333786	-80.24139000	-45.66649000
0.00381470	-72.65464000	-46.49269000
0.00429153	-73.37788000	-46.44237000
0.00476837	-79.62368000	-45.67065000
0.00524521	-84.20190000	-42.58097000
0.00572205	-85.02996000	-40.86045000
0.00619888	-79.60383000	-44.15948000
0.00667572	-81.21233000	-53.45295000
0.00715256	-80.81140000	-53.09429000
0.00762939	-81.21622000	-51.05965000
0.00810623	-82.22086000	-52.71863000
0.00858307	-81.81278000	-55.09235000
0.00905991	-80.87466000	-57.00706000
0.00953674	-79.84222000	-54.60555000
0.01001358	-78.02186000	-55.83897000
0.01049042	-80.72766000	-59.70929000
0.01096725	-85.16895000	-61.18686000
0.01144409	-85.34432000	-58.15764000
0.01192093	-86.65825000	-57.97744000
0.01239777	-85.63792000	-61.10085000
0.01287460	-76.65046000	-60.42308000
0.01335144	-68.72979000	-53.85107000
0.01382828	-66.01923000	-51.02151000
0.01430511	-68.31730000	-53.70215000
0.01478195	-76.49975000	-62.35029000
0.01525879	-86.57090000	-65.00272000
0.01573563	-87.60378000	-63.52796000
0.01621246	-89.73283000	-64.19824000
0.01668930	-88.95283000	-65.03762000
0.01716614	-87.96587000	-63.58456000
0.01764297	-88.13770000	-62.27215000
0.01811981	-87.94090000	-62.93419000
0.01859665	-89.15654000	-63.38813000
0.01907349	-88.80478000	-59.59468000
0.01955032	-88.84316000	-58.24158000
0.02002716	-87.89817000	-61.60033000
0.02050400	-88.02679000	-64.51408000
0.02098083	-88.42101000	-65.60326000
0.02145767	-90.65001000	-63.97226000
0.02193451	-89.98311000	-64.83141000
0.02241135	-89.37677000	-66.82465000
0.02288818	-88.26640000	-67.27014000
0.02336502	-88.21739000	-65.53392000
0.02384186	-86.54110000	-65.58289000
0.02431870	-87.95251000	-67.60739000
0.02479553	-90.21321000	-67.44864000
0.02527237	-90.76433000	-65.34161000
0.02574921	-90.86864000	-65.08801000
0.02622604	-90.29543000	-67.72816000
0.02670288	-86.79924000	-68.51281000
0.02717972	-79.46088000	-65.16198000
0.02765656	-76.41490000	-63.70029000
0.02813339	-78.54607000	-66.28136000
0.02861023	-85.97723000	-69.36871000
0.02908707	-91.10056000	-68.63927000
0.02956390	-92.19272000	-67.77309000
0.03004074	-93.02130000	-68.21763000
0.03051758	-92.82920000	-69.81082000
0.03099442	-91.76780000	-69.22073000
0.03147125	-92.77209000	-68.44695000
0.03194809	-92.81100000	-69.25188000
0.03242493	-92.37560000	-69.36184000
0.03290176	-92.33216000	-68.79008000
0.03337860	-93.26770000	-67.96521000
0.03385544	-92.26495000	-68.86860000
0.03433228	-91.86854000	-69.32286000
0.03480911	-92.66873000	-69.26365000
0.03528595	-94.81258000	-68.36526000
0.03576279	-94.20594000	-68.82786000
0.03623962	-93.08347000	-70.11935000
0.03671646	-92.74615000	-70.29961000
0.03719330	-92.45403000	-69.95972000
0.03767014	-91.34203000	-70.26295000
0.03814697	-91.65084000	-70.48760000
0.03862381	-93.55676000	-70.47398000
0.03910065	-94.37499000	-69.80844000
0.03957748	-94.13384000	-69.57655000
0.04005432	-93.61066000	-70.50842000
0.04053116	-93.55515000	-70.45547000
0.04100800	-86.65341000	-69.64021000
0.04148483	-83.34148000	-69.47543000
0.04196167	-85.39792000	-70.58036000
0.04243851	-90.47968000	-70.94498000
0.04291534	-94.14877000	-70.65557000
0.04339218	-94.53621000	-70.31326000
0.04386902	-95.15604000	-70.92201000
0.04434586	-94.99906000	-71.54546000
0.04482269	-94.16270000	-71.32164000
0.04529953	-94.63258000	-71.01873000
0.04577637	-95.40392000	-71.17788000
0.04625320	-94.78660000	-71.26297000
0.04673004	-94.91300000	-70.95207000
0.04720688	-95.46989000	-70.80423000
0.04768372	-94.75679000	-70.93188000
0.04816055	-94.49342000	-70.58884000
0.04863739	-94.81005000	-70.73145000
0.04911423	-96.06197000	-70.93720000
0.04959106	-96.03584000	-71.17271000
0.05006790	-95.24986000	-71.53098000
0.05054474	-95.11058000	-71.13638000
0.05102158	-94.95065000	-71.16209000
0.05149841	-94.21908000	-71.68464000
0.05197525	-94.28117000	-71.57156000
0.05245209	-95.73354000	-71.57646000
0.05292892	-96.75481000	-71.06159000
0.05340576	-96.34129000	-71.20558000
0.05388260	-95.95470000	-71.39733000
0.05435944	-96.30938000	-71.78277000
0.05483627	-92.18624000	-71.17236000
0.05531311	-88.64498000	-70.74271000
0.05578995	-90.48211000	-71.18626000
0.05626678	-93.41376000	-71.65704000
0.05674362	-96.21004000	-72.17885000
0.05722046	-96.72962000	-71.92265000
0.05769730	-96.57033000	-71.74763000
0.05817413	-96.47440000	-71.95400000
0.05865097	-96.04383000	-72.11800000
0.05912781	-96.19788000	-71.82800000
0.05960464	-96.96445000	-72.21681000
0.06008148	-96.72509000	-72.15063000
0.06055832	-97.07555000	-71.79636000
0.06103516	-97.28749000	-71.49802000
0.06151199	-96.57523000	-71.73074000
0.06198883	-96.41761000	-72.03897000
0.06246567	-96.61872000	-72.19352000
0.06294250	-96.58417000	-71.86719000
0.06341934	-96.59422000	-72.09701000
0.06389618	-96.44749000	-72.30257000
0.06437302	-96.74644000	-72.14687000
0.06484985	-96.95641000	-72.56567000
0.06532669	-96.61159000	-72.79730000
0.06580353	-96.71049000	-72.41892000
0.06628036	-97.74528000	-71.61273000
0.06675720	-97.93073000	-71.84690000
0.06723404	-97.41493000	-72.00253000
0.06771088	-97.34020000	-72.26389000
0.06818771	-97.89687000	-72.25546000
0.06866455	-96.20881000	-72.29836000
0.06914139	-93.02062000	-72.02702000
0.06961823	-93.96897000	-72.35282000
0.07009506	-95.32180000	-72.31860000
0.07057190	-97.59495000	-72.37012000
0.07104874	-98.53152000	-72.69730000
0.07152557	-98.24124000	-72.59482000
0.07200241	-98.14196000	-72.36321000
0.07247925	-97.65742000	-72.32572000
0.07295609	-97.62846000	-72.16647000
0.07343292	-98.00764000	-72.31518000
0.07390976	-97.90321000	-72.39182000
0.07438660	-98.11008000	-72.49335000
0.07486343	-98.14963000	-72.48560000
0.07534027	-97.99480000	-72.36426000
0.07581711	-97.59064000	-72.51265000
0.07629395	-97.99365000	-72.64629000
0.07677078	-98.86050000	-73.20762000
0.07724762	-98.88014000	-73.21465000
0.07772446	-98.17477000	-72.85608000
0.07820129	-98.21263000	-72.72266000
0.07867813	-98.70067000	-72.53487000
0.07915497	-98.10575000	-73.17751000
0.07963181	-97.75138000	-73.16872000
0.08010864	-98.24343000	-72.81007000
0.08058548	-98.38975000	-72.63374000
0.08106232	-97.81161000	-72.27245000
0.08153915	-98.02028000	-72.34422000
0.08201599	-98.94315000	-72.68665000
0.08249283	-98.81499000	-72.45859000
0.08296967	-96.46371000	-72.58128000
0.08344650	-96.05009000	-72.85143000
0.08392334	-96.64825000	-72.83507000
0.08440018	-99.05478000	-72.78073000
0.08487701	-99.92035000	-72.65179000
0.08535385	-99.22943000	-72.95117000
0.08583069	-99.02008000	-72.64522000
0.08630753	-99.01875000	-72.07862000
0.08678436	-98.90482000	-72.32845000
0.08726120	-99.35610000	-73.02433000
0.08773804	-99.00638000	-72.82614000
0.08821487	-99.24190000	-72.43985000
0.08869171	-99.63803000	-72.21187000
0.08916855	-98.89176000	-72.64285000
0.08964539	-98.83961000	-72.63639000
0.09012222	-99.60706000	-72.61492000
0.09059906	-99.99842000	-72.60336000
0.09107590	-99.76053000	-73.01852000
0.09155273	-99.50876000	-72.90558000
0.09202957	-99.33965000	-72.86610000
0.09250641	-98.93107000	-73.02110000
0.09298325	-98.80774000	-73.23012000
0.09346008	-98.82487000	-73.17535000
0.09393692	-99.24011000	-72.83208000
0.09441376	-99.45650000	-72.62123000
0.09489059	-99.19466000	-72.62315000
0.09536743	-99.22089000	-72.97324000
0.09584427	-99.66399000	-72.96152000
0.09632111	-100.00220000	-72.66168000
0.09679794	-99.22205000	-72.98700000
0.09727478	-97.79128000	-73.54924000
0.09775162	-98.28474000	-73.65076000
0.09822845	-99.26680000	-73.12154000
0.09870529	-99.71325000	-73.11867000
0.09918213	-99.42499000	-73.06566000
0.09965897	-99.52541000	-72.98764000
0.10013580	-100.37420000	-73.07222000
0.10061264	-99.57853000	-73.15738000
0.10108948	-99.54329000	-73.25664000
0.10156631	-99.46521000	-73.08375000
0.10204315	-99.69258000	-72.95313000
0.10251999	-100.15070000	-73.03285000
0.10299683	-100.04620000	-73.27307000
0.10347366	-99.56142000	-74.16066000
0.10395050	-100.01090000	-73.52915000
0.10442734	-101.06390000	-72.87390000
0.10490417	-100.91460000	-72.82972000
0.10538101	-100.77770000	-72.86729000
0.10585785	-100.78780000	-72.79996000
0.10633469	-100.42550000	-72.71365000
0.10681152	-100.14370000	-73.27663000
0.10728836	-99.83585000	-73.33606000
0.10776520	-100.16770000	-73.55125000
0.10824203	-100.31450000	-73.15409000
0.10871887	-99.85457000	-73.04219000
0.10919571	-100.05040000	-73.17609000
0.10967255	-100.52950000	-73.22880000
0.11014938	-101.35070000	-72.71469000
0.11062622	-100.73110000	-73.07142000
0.11110306	-99.23843000	-72.92256000
0.11157990	-99.17010000	-73.02059000
0.11205673	-100.13790000	-72.99624000
0.11253357	-100.31470000	-72.78957000
0.11301041	-99.91895000	-72.76323000
0.11348724	-100.10720000	-73.15898000
0.11396408	-100.21360000	-73.01919000
0.11444092	-99.68604000	-73.19560000
0.11491776	-100.00410000	-72.61848000
0.11539459	-100.17750000	-72.01225000
0.11587143	-100.53530000	-71.52892000
0.11634827	-100.42040000	-71.52281000
0.11682510	-99.96470000	-71.95068000
0.11730194	-100.10020000	-72.67007000
0.11777878	-100.20700000	-72.48948000
0.11825562	-100.83940000	-72.63858000
0.11873245	-101.06660000	-73.11001000
0.11920929	-100.84050000	-73.36324000
