Frequenz	Kanal A	Kanal C
(MHz)	(dBV)	(dBV)

0.00000000	-61.78079000	-2.55212000
0.00027248	-64.76270000	-5.53563700
0.00054496	-72.84167000	-13.62137000
0.00081744	-89.56030000	-30.34697000
0.00108991	-106.19270000	-51.92393000
0.00136239	-107.10300000	-51.76055000
0.00163487	-107.77100000	-51.64502000
0.00190735	-108.25770000	-51.91803000
0.00217983	-108.41960000	-51.98061000
0.00245231	-108.91560000	-52.00559000
0.00272478	-109.05400000	-51.82603000
0.00299726	-109.54320000	-51.68858000
0.00326974	-109.44070000	-51.70987000
0.00354222	-109.55590000	-52.01408000
0.00381470	-109.51690000	-51.82473000
0.00408718	-109.42280000	-52.08042000
0.00435965	-109.73120000	-52.07768000
0.00463213	-110.32340000	-51.92547000
0.00490461	-110.31970000	-51.96636000
0.00517709	-110.02090000	-52.12625000
0.00544957	-109.72900000	-52.14691000
0.00572205	-109.95610000	-51.92090000
0.00599452	-110.22690000	-51.98716000
0.00626700	-110.44840000	-52.04036000
0.00653948	-110.39100000	-52.03012000
0.00681196	-110.16470000	-52.12651000
0.00708444	-109.94060000	-52.05752000
0.00735692	-110.06240000	-52.39970000
0.00762940	-109.99790000	-52.20490000
0.00790187	-110.16260000	-52.09821000
0.00817435	-110.21920000	-51.97949000
0.00844683	-110.12770000	-51.89999000
0.00871931	-110.32750000	-51.97414000
0.00899179	-110.55110000	-51.78109000
0.00926427	-110.58100000	-51.68441000
0.00953674	-110.50570000	-51.93935000
0.00980922	-110.48020000	-52.16667000
0.01008170	-110.62310000	-52.03340000
0.01035418	-110.63620000	-52.39766000
0.01062666	-110.37530000	-52.18317000
0.01089914	-110.51470000	-51.99303000
0.01117161	-110.63310000	-52.15501000
0.01144409	-110.46040000	-52.03804000
0.01171657	-110.38780000	-52.03533000
0.01198905	-110.52100000	-52.10858000
0.01226153	-110.68590000	-51.87374000
0.01253401	-110.73630000	-51.84072000
0.01280648	-110.67320000	-51.98996000
0.01307896	-110.97350000	-52.17589000
0.01335144	-110.84770000	-52.17272000
0.01362392	-110.80270000	-52.34781000
0.01389640	-110.60530000	-52.27422000
0.01416888	-110.44430000	-52.06664000
0.01444135	-110.72730000	-51.97107000
0.01471383	-110.80160000	-52.20203000
0.01498631	-110.86380000	-52.24759000
0.01525879	-110.78710000	-52.13585000
0.01553127	-110.76890000	-51.94460000
0.01580375	-110.50040000	-51.88944000
0.01607623	-110.56800000	-51.97411000
0.01634870	-110.74020000	-52.02568000
0.01662118	-110.56340000	-51.93111000
0.01689366	-110.34690000	-51.99158000
0.01716614	-110.33150000	-52.06548000
0.01743862	-110.52060000	-52.03553000
0.01771110	-110.82270000	-52.05289000
0.01798357	-110.60800000	-52.25206000
0.01825605	-110.51680000	-52.06098000
0.01852853	-110.71900000	-52.07177000
0.01880101	-110.92730000	-52.39132000
0.01907349	-110.76020000	-52.23473000
0.01934597	-110.68090000	-52.30629000
0.01961844	-110.08550000	-52.04667000
0.01989092	-109.82300000	-51.95395000
0.02016340	-110.03620000	-52.03169000
0.02043588	-110.43350000	-52.24231000
0.02070836	-110.50260000	-52.23627000
0.02098084	-110.53020000	-52.39454000
0.02125331	-110.70620000	-52.26326000
0.02152579	-110.75560000	-52.08865000
0.02179827	-110.57670000	-52.01001000
0.02207075	-110.83010000	-52.04682000
0.02234323	-111.06560000	-52.18611000
0.02261571	-110.83070000	-52.16744000
0.02288819	-110.53140000	-52.00558000
0.02316066	-110.43850000	-52.01902000
0.02343314	-110.18830000	-52.18676000
0.02370562	-110.13400000	-52.36747000
0.02397810	-110.14390000	-52.49557000
0.02425058	-110.02470000	-52.27034000
0.02452306	-109.67770000	-52.05421000
0.02479553	-109.31990000	-52.16890000
0.02506801	-109.04990000	-52.13253000
0.02534049	-108.80120000	-52.38633000
0.02561297	-108.24620000	-52.28083000
0.02588545	-108.19220000	-52.26059000
0.02615793	-108.23520000	-52.26120000
0.02643040	-105.28150000	-52.27051000
0.02670288	-100.72670000	-52.18385000
0.02697536	-99.25709000	-52.23680000
0.02724784	-100.58010000	-52.37114000
0.02752032	-104.25820000	-52.42822000
0.02779280	-107.50230000	-52.07722000
0.02806527	-108.82990000	-51.99300000
0.02833775	-109.38660000	-51.87783000
0.02861023	-109.65340000	-52.18183000
0.02888271	-109.85390000	-52.45646000
0.02915519	-110.09700000	-52.37387000
0.02942767	-110.17860000	-52.10569000
0.02970014	-110.27250000	-51.97683000
0.02997262	-110.39660000	-52.07728000
0.03024510	-110.21610000	-51.95827000
0.03051758	-110.23790000	-52.00452000
0.03079006	-110.43580000	-52.09386000
0.03106254	-110.40860000	-51.88536000
0.03133502	-110.25900000	-52.13750000
0.03160749	-110.19670000	-52.37831000
0.03187997	-110.33750000	-52.45383000
0.03215245	-110.78890000	-52.60025000
0.03242493	-110.90500000	-52.56469000
0.03269741	-110.66010000	-52.50068000
0.03296989	-110.86840000	-52.36890000
0.03324236	-110.79800000	-52.22920000
0.03351484	-110.69830000	-52.12309000
0.03378732	-110.60700000	-52.01321000
0.03405980	-110.67390000	-51.92163000
0.03433228	-110.72250000	-52.11044000
0.03460476	-110.84420000	-52.09837000
0.03487723	-110.83190000	-52.09784000
0.03514971	-111.09260000	-52.07330000
0.03542219	-110.94750000	-52.17690000
0.03569467	-111.02190000	-51.91801000
0.03596715	-111.15870000	-52.02960000
0.03623963	-111.24390000	-51.84584000
0.03651210	-111.08650000	-52.08138000
0.03678458	-110.99500000	-52.23813000
0.03705706	-110.70240000	-52.22216000
0.03732954	-110.80100000	-52.39249000
0.03760202	-110.70450000	-52.22987000
0.03787450	-110.64300000	-52.13513000
0.03814698	-110.94990000	-52.17940000
0.03841945	-110.63580000	-51.95369000
0.03869193	-110.75390000	-52.19713000
0.03896441	-110.72330000	-52.17117000
0.03923689	-110.61990000	-52.07326000
0.03950937	-110.56510000	-52.09674000
0.03978185	-110.59580000	-52.21977000
0.04005432	-110.53780000	-51.91162000
0.04032680	-110.61110000	-51.92770000
0.04059928	-110.78900000	-52.27320000
0.04087176	-110.78610000	-52.09142000
0.04114424	-110.97310000	-51.94003000
0.04141672	-110.84230000	-51.92656000
0.04168919	-110.76540000	-51.85889000
0.04196167	-110.57370000	-51.94901000
0.04223415	-110.86970000	-52.16233000
0.04250663	-110.77240000	-52.26677000
0.04277911	-110.55030000	-52.15085000
0.04305159	-110.61270000	-52.18066000
0.04332406	-110.62080000	-52.16565000
0.04359654	-110.47310000	-52.10104000
0.04386902	-110.53480000	-52.18179000
0.04414150	-110.50710000	-52.19276000
0.04441398	-110.04820000	-52.10447000
0.04468646	-107.92040000	-52.26687000
0.04495893	-106.31320000	-52.14321000
0.04523141	-107.03970000	-51.85353000
0.04550389	-109.47740000	-51.75370000
0.04577637	-110.33550000	-51.92130000
0.04604885	-110.38710000	-52.17551000
0.04632133	-110.50370000	-52.00093000
0.04659381	-110.63820000	-52.09665000
0.04686628	-110.68650000	-52.23840000
0.04713876	-110.76150000	-52.08249000
0.04741124	-110.45790000	-52.26381000
0.04768372	-110.17020000	-52.12170000
0.04795620	-110.02110000	-52.36694000
0.04822868	-110.55860000	-52.44501000
0.04850115	-110.50720000	-52.57566000
0.04877363	-110.50110000	-52.46220000
0.04904611	-110.53360000	-52.00407000
0.04931859	-110.64170000	-52.02516000
0.04959107	-110.62280000	-52.18002000
0.04986355	-110.71700000	-52.06958000
0.05013602	-110.84370000	-52.20973000
0.05040850	-111.00130000	-52.23196000
0.05068098	-110.85710000	-52.16352000
0.05095346	-110.80670000	-52.00936000
0.05122594	-110.68340000	-51.94766000
0.05149842	-110.76690000	-51.99888000
0.05177089	-110.85440000	-52.46120000
0.05204337	-110.65340000	-52.53041000
0.05231585	-110.59220000	-52.29609000
0.05258833	-110.78260000	-52.30369000
0.05286081	-110.85320000	-52.27406000
0.05313329	-110.84560000	-52.15321000
0.05340577	-110.82890000	-51.97453000
0.05367824	-110.98190000	-52.20309000
0.05395072	-110.79030000	-52.16154000
0.05422320	-110.70440000	-52.32087000
0.05449568	-110.41700000	-52.10827000
0.05476816	-110.52640000	-52.07419000
0.05504064	-110.78950000	-52.06099000
0.05531311	-110.66290000	-52.01841000
0.05558559	-110.56050000	-52.30644000
0.05585807	-110.71770000	-52.31648000
0.05613055	-110.79140000	-52.42170000
0.05640303	-110.75260000	-52.09484000
0.05667551	-110.59240000	-52.07463000
0.05694798	-110.75660000	-52.22754000
0.05722046	-110.86410000	-52.26062000
0.05749294	-111.14250000	-52.03167000
0.05776542	-110.98630000	-52.00769000
0.05803790	-110.73930000	-51.90166000
0.05831038	-110.63050000	-51.66912000
0.05858285	-110.74460000	-51.96437000
0.05885533	-110.71930000	-52.02394000
0.05912781	-110.67470000	-52.20925000
0.05940029	-110.76600000	-52.23696000
0.05967277	-111.02530000	-52.24828000
0.05994525	-110.81770000	-51.78537000
0.06021772	-110.88610000	-51.84280000
0.06049020	-110.73860000	-52.01084000
0.06076268	-110.63590000	-52.15416000
0.06103516	-110.62340000	-52.24259000
0.06130764	-110.52430000	-52.15665000
0.06158012	-110.33180000	-52.09789000
0.06185260	-110.49560000	-51.94265000
0.06212507	-110.55640000	-51.74972000
0.06239755	-109.88100000	-51.87962000
0.06267003	-107.36970000	-52.15931000
0.06294251	-105.59110000	-52.43301000
0.06321499	-106.14750000	-52.37373000
0.06348747	-108.93970000	-52.21721000
0.06375994	-110.29690000	-52.10502000
0.06403242	-110.73540000	-52.27255000
0.06430490	-110.70780000	-52.29360000
0.06457738	-110.64940000	-52.32029000
0.06484986	-110.35490000	-52.25328000
0.06512234	-110.24620000	-52.16805000
0.06539481	-110.51420000	-52.40330000
0.06566729	-110.33060000	-52.17710000
0.06593977	-110.54350000	-52.11944000
0.06621225	-110.58510000	-52.25288000
0.06648473	-110.34800000	-52.30173000
0.06675721	-110.45130000	-52.05986000
0.06702968	-110.57320000	-51.90190000
0.06730216	-110.46100000	-52.10841000
0.06757464	-110.47770000	-52.20612000
0.06784712	-110.68040000	-52.19177000
0.06811960	-110.69760000	-52.19336000
