Zeit	Kanal A	Kanal C
(ms)	(V)	(mV)

-25.00403114	0.17375120	-109.41810000
-25.00198314	0.17375120	-109.41810000
-24.99993514	0.16584650	-107.83710000
-24.99788714	0.17375120	-109.41810000
-24.99583914	0.16584650	-109.41810000
-24.99379114	0.17375120	-107.83710000
-24.99174314	0.17375120	-109.41810000
-24.98969514	0.16584650	-109.41810000
-24.98764714	0.16584650	-109.41810000
-24.98559914	0.16584650	-109.41810000
-24.98355114	0.16584650	-109.41810000
-24.98150314	0.16584650	-109.41810000
-24.97945514	0.16584650	-109.41810000
-24.97740714	0.17375120	-109.41810000
-24.97535914	0.16584650	-109.41810000
-24.97331114	0.16584650	-109.41810000
-24.97126314	0.16584650	-109.41810000
-24.96921514	0.16584650	-109.41810000
-24.96716714	0.16584650	-109.41810000
-24.96511914	0.16584650	-111.00520000
-24.96307114	0.16584650	-107.83710000
-24.96102314	0.16584650	-107.83710000
-24.95897514	0.16584650	-109.41810000
-24.95692714	0.16584650	-109.41810000
-24.95487914	0.16584650	-109.41810000
-24.95283114	0.16584650	-109.41810000
-24.95078314	0.16584650	-107.83710000
-24.94873514	0.16584650	-106.25000000
-24.94668714	0.16584650	-104.66290000
-24.94463914	0.16584650	-104.66290000
-24.94259114	0.16584650	-103.07580000
-24.94054314	0.16584650	-103.07580000
-24.93849514	0.16584650	-104.66290000
-24.93644714	0.16584650	-104.66290000
-24.93439914	0.16584650	-104.66290000
-24.93235114	0.16584650	-104.66290000
-24.93030314	0.16584650	-103.07580000
-24.92825514	0.16584650	-101.49480000
-24.92620714	0.16584650	-106.25000000
-24.92415914	0.16584650	-103.07580000
-24.92211114	0.16584650	-103.07580000
-24.92006314	0.16584650	-103.07580000
-24.91801514	0.16584650	-103.07580000
-24.91596714	0.16584650	-103.07580000
-24.91391914	0.16584650	-103.07580000
-24.91187114	0.16584650	-103.07580000
-24.90982314	0.16584650	-103.07580000
-24.90777514	0.16584650	-103.07580000
-24.90572714	0.16584650	-104.66290000
-24.90367914	0.16584650	-104.66290000
-24.90163114	0.16584650	-103.07580000
-24.89958314	0.16584650	-103.07580000
-24.89753514	0.16584650	-103.07580000
-24.89548714	0.16584650	-103.07580000
-24.89343914	0.16584650	-103.07580000
-24.89139114	0.16584650	-103.07580000
-24.88934314	0.16584650	-103.07580000
-24.88729514	0.15794170	-107.83710000
-24.88524714	0.16584650	-104.66290000
-24.88319914	0.16584650	-104.66290000
-24.88115114	0.16584650	-101.49480000
-24.87910314	0.16584650	-99.90772000
-24.87705514	0.16584650	-96.73351000
-24.87500714	0.16584650	-95.14641000
-24.87295914	0.16584650	-95.14641000
-24.87091114	0.16584650	-95.14641000
-24.86886314	0.16584650	-95.14641000
-24.86681514	0.16584650	-95.14641000
-24.86476714	0.16584650	-95.14641000
-24.86271914	0.16584650	-95.14641000
-24.86067114	0.16584650	-93.56544000
-24.85862314	0.16584650	-93.56544000
-24.85657514	0.16584650	-93.56544000
-24.85452714	0.16584650	-93.56544000
-24.85247914	0.16584650	-93.56544000
-24.85043114	0.16584650	-93.56544000
-24.84838314	0.15794170	-95.14641000
-24.84633514	0.16584650	-93.56544000
-24.84428714	0.16584650	-95.14641000
-24.84223914	0.16584650	-93.56544000
-24.84019114	0.16584650	-93.56544000
-24.83814314	0.16584650	-93.56544000
-24.83609514	0.16584650	-93.56544000
-24.83404714	0.16584650	-95.14641000
-24.83199914	0.16584650	-95.14641000
-24.82995114	0.16584650	-95.14641000
-24.82790314	0.15794170	-93.56544000
-24.82585514	0.16584650	-93.56544000
-24.82380714	0.15794170	-93.56544000
-24.82175914	0.16584650	-91.97834000
-24.81971114	0.16584650	-91.97834000
-24.81766314	0.15794170	-93.56544000
-24.81561514	0.15794170	-93.56544000
-24.81356714	0.15794170	-93.56544000
-24.81151914	0.15794170	-93.56544000
-24.80947114	0.15794170	-91.97834000
-24.80742314	0.15794170	-93.56544000
-24.80537514	0.15794170	-90.39124000
-24.80332714	0.15794170	-87.21702000
-24.80127914	0.15794170	-84.04896000
-24.79923114	0.15794170	-82.46185000
-24.79718314	0.15794170	-82.46185000
-24.79513514	0.15794170	-80.87475000
-24.79308714	0.15794170	-80.87475000
-24.79103914	0.15794170	-80.87475000
-24.78899114	0.15794170	-79.28764000
-24.78694314	0.15794170	-79.28764000
-24.78489514	0.15794170	-79.28764000
-24.78284714	0.16584650	-79.28764000
-24.78079914	0.15794170	-79.28764000
-24.77875114	0.15794170	-79.28764000
-24.77670314	0.15794170	-79.28764000
-24.77465514	0.15794170	-77.70669000
-24.77260714	0.15794170	-79.28764000
-24.77055914	0.15794170	-79.28764000
-24.76851114	0.16584650	-77.70669000
-24.76646314	0.15794170	-77.70669000
-24.76441514	0.15794170	-77.70669000
-24.76236714	0.15794170	-79.28764000
-24.76031914	0.15794170	-77.70669000
-24.75827114	0.15794170	-79.28764000
-24.75622314	0.15794170	-80.87475000
-24.75417514	0.15794170	-79.28764000
-24.75212714	0.15794170	-79.28764000
-24.75007914	0.15794170	-79.28764000
-24.74803114	0.15794170	-79.28764000
-24.74598314	0.15794170	-80.87475000
-24.74393514	0.15794170	-80.87475000
-24.74188714	0.15794170	-80.87475000
-24.73983914	0.15794170	-79.28764000
-24.73779114	0.15794170	-79.28764000
-24.73574314	0.15794170	-79.28764000
-24.73369514	0.15794170	-77.70669000
-24.73164714	0.15794170	-76.11958000
-24.72959914	0.15794170	-74.53247000
-24.72755114	0.15794170	-72.94537000
-24.72550314	0.15794170	-72.94537000
-24.72345514	0.15794170	-72.94537000
-24.72140714	0.15794170	-72.94537000
-24.71935914	0.15794170	-72.94537000
-24.71731114	0.15794170	-72.94537000
-24.71526314	0.15794170	-72.94537000
-24.71321514	0.15794170	-72.94537000
-24.71116714	0.15794170	-71.35827000
-24.70911914	0.15794170	-72.94537000
-24.70707115	0.15794170	-72.94537000
-24.70502315	0.15794170	-71.35827000
-24.70297515	0.15794170	-71.35827000
-24.70092715	0.15794170	-72.94537000
-24.69887915	0.15794170	-71.35827000
-24.69683115	0.15794170	-71.35827000
-24.69478315	0.15794170	-72.94537000
-24.69273515	0.15794170	-72.94537000
-24.69068715	0.15794170	-72.94537000
-24.68863915	0.15003690	-72.94537000
-24.68659115	0.15794170	-71.35827000
-24.68454315	0.15794170	-71.35827000
-24.68249515	0.15794170	-71.35827000
-24.68044715	0.15794170	-71.35827000
-24.67839915	0.15794170	-71.35827000
-24.67635115	0.15794170	-71.35827000
-24.67430315	0.15794170	-72.94537000
-24.67225515	0.15794170	-71.35827000
-24.67020715	0.15794170	-71.35827000
-24.66815915	0.15794170	-71.35827000
-24.66611115	0.15003690	-71.35827000
-24.66406315	0.15003690	-71.35827000
-24.66201515	0.15794170	-71.35827000
-24.65996715	0.15003690	-69.77731000
-24.65791915	0.15794170	-68.19021000
-24.65587115	0.15794170	-66.60310000
-24.65382315	0.15003690	-65.01599000
-24.65177515	0.15003690	-65.01599000
-24.64972715	0.15003690	-65.01599000
-24.64767915	0.15003690	-63.42888000
-24.64563115	0.15003690	-65.01599000
-24.64358315	0.15794170	-65.01599000
-24.64153515	0.15003690	-63.42888000
-24.63948715	0.15794170	-63.42888000
-24.63743915	0.15794170	-63.42888000
-24.63539115	0.15794170	-63.42888000
-24.63334315	0.15003690	-63.42888000
-24.63129515	0.15003690	-65.01599000
-24.62924715	0.15794170	-65.01599000
-24.62719915	0.15794170	-65.01599000
-24.62515115	0.15794170	-65.01599000
-24.62310315	0.15794170	-63.42888000
-24.62105515	0.15794170	-63.42888000
-24.61900715	0.15794170	-63.42888000
-24.61695915	0.15003690	-65.01599000
